V_in ,V_in/sc ,V_out ,V_out/sc ,f      ,f/sc ,T     ,t     ,t/sc
6.96 ,1       ,6.92  ,1        ,0.5155 ,0.5  ,1940  ,13.70 ,2.50
7.04 ,1       ,6.92  ,1        ,1.024  ,5    ,976.0 ,13.50 ,2.50
7.04 ,1       ,6.86  ,1        ,2.495  ,5    ,400.7 ,13.2  ,2.50
7.04 ,1       ,6.64  ,1        ,4.010  ,5    ,249.2 ,12.70 ,2.50
7.04 ,1       ,6     ,1        ,7.042  ,50   ,141.9 ,11.9  ,2.50

7.04 ,1       ,6.75  ,1        ,3.525  ,5    ,283.6 ,12.80 ,5
6    ,1       ,3.34  ,1        ,15.55  ,50   ,64.3  ,9.2   ,2.50
5.72 ,1       ,2.44  ,0.5      ,25.46  ,50   ,39.28 ,6.76  ,1.00
5.6  ,1       ,1.76  ,0.5      ,36.37  ,50   ,27.48 ,5.3   ,2.50
5.44 ,1       ,0.628 ,0.1      ,104.7  ,500  ,9.54  ,2.22  ,0.5
5.44 ,1       ,0.424 ,0.1      ,156.0  ,500  ,6.41  ,1.52  ,1.00
5.36 ,1       ,0.258 ,0.05     ,254.1  ,500  ,3.934 ,0.95  ,0.5
5.28 ,1       ,0.181 ,0.02     ,356.6  ,500  ,2.804 ,0.65  ,0.25
5.24 ,1       ,0.172 ,0.05     ,376.5  ,500  ,2.66  ,0.636 ,0.1
5.02 ,1       ,0.138 ,0.02     ,459.1  ,500  ,2.178 ,0.52  ,0.25
