V entrata(V) ,V/div ,V uscita(V) ,V/div ,F (Khz) ,f/sc ,T(micro s) ,Delta t(micro (s)) ,t/div
7.04         ,1     ,6.75        ,1     ,3.525   ,5    ,283.6      ,12.80              ,5
6            ,1     ,3.34        ,1     ,15.55   ,50   ,64.3       ,9.2                ,2.50
5.72         ,1     ,2.44        ,500   ,25.46   ,50   ,39.28      ,6.76               ,1.00
5.6          ,1     ,1.76        ,500   ,36.37   ,50   ,27.48      ,5.3                ,2.50
5.44         ,1     ,0.628       ,100   ,104.7   ,500  ,9.54       ,2.22               ,0.5
5.44         ,1     ,0.424       ,100   ,156     ,500  ,6.41       ,1.52               ,1.00
5.36         ,1     ,0.258       ,50    ,254.1   ,500  ,3.934      ,0.95               ,0.5
5.28         ,1     ,0.181       ,20    ,356.6   ,500  ,2.804      ,0.65               ,0.25
5.24         ,1     ,0.172       ,50    ,376.5   ,500  ,2.66       ,0.636              ,0.1
5.02         ,1     ,0.138       ,20    ,459.1   ,500  ,2.178      ,0.52               ,0.25
