V_in ,V_in/sc ,V_out ,V_out/sc ,f      ,T     ,Dt     ,Dt/sc
7    ,1       ,0.294 ,0.05     ,0.5149 ,1942  ,464    ,100
7    ,1       ,0.576 ,0.1      ,1.025  ,976   ,230    ,50
7.04 ,1       ,0.780 ,0.1      ,1.388  ,720.4 ,166    ,25
7.04 ,1       ,1.380 ,0.2      ,2.498  ,400.4 ,86.8   ,10
7.04 ,1       ,2.180 ,0.5      ,4.016  ,249   ,48.8   ,10
7    ,1       ,3.460 ,0.5      ,7.077  ,141.3 ,23.2   ,5
6.96 ,1       ,5.320 ,1        ,15.12  ,66.12 ,7.28   ,1
6.88 ,1       ,6.040 ,1        ,25.28  ,39.56 ,2.94   ,0.5
6.84 ,1       ,6.560 ,1        ,52.06  ,19.21 ,0.716  ,0.1
6.8  ,1       ,6.720 ,1        ,103.7  ,9.65  ,0.18   ,0.025
6.8  ,1       ,6.800 ,1        ,203.7  ,4.904 ,0.0448 ,0.01
6.8  ,1       ,6.800 ,1        ,403.1  ,2.48  ,0.0106 ,0.005
